Time, Type, Data
18/09/2016 17:29:56.071,RX,02-14-00-00-06
18/09/2016 17:29:56.169,RX,02-BD-00-00-06-02-15-00-00-06-02-20-35-00-E0-07-09-12-3D-13-C1-03-00-00-FF-FF-00-80-FF-FF-01-00-03-00-5C-10-00-00-20-03-D0-02-9B-FF-A0-FF-FF-FF-06-00-FE-FF-03-00-00-00-FF-FF-00-00-00-00-00-00-62-20-8C-03
18/09/2016 17:29:56.270,RX,02-2B-47-00-E0-07-09-12-3D-13-C1-03-02-00-00-FF-FF-00-80-FF-FF-01-00-03-00-5C-10-62-00-00-FF-FF-FF-20-03-D0-02-00-FF-FF-00-FF-FF-00-00-9B-FF-A0-FF-FF-FF-06-00-FE-FF-03-00-12-01-1B-02-FE-00-0C-FF-FF-9F-01-A2-01-FA-01-00-00-E7-03-02-19-00-00-06-02-16-00-00-06-02-1E-00-00-06-02-BC-00-00-06
18/09/2016 17:29:56.443,RX,02-22-58-00-E0-07-09-12-5D-13-C1-03-02-DE-37-9F-7D-F6-BD-E7-DE-7D-FD-ED-A7-1F-80-02-F2-87-9F-7F-05-0A-C8-9F-7F-03-06-D8-9F-7F-03-06-A8-9F-7E-01-16-18-A0-80-0B-46-C8-20-82-0D-3E-A8-60-81-0A-3E-A8-20-81-07-36-B8-60-81-06-32-A8-20-81-03-2A-B8-60-81-02-22-B8-60-81-03-26-B8-20-A4-03
18/09/2016 17:29:56.693,RX,02-22-58-01-E0-07-09-12-59-14-C1-03-04-F2-C7-DF-7F-FA-D5-97-1F-80-FE-E1-87-5F-7F-FB-D5-67-9F-7F-01-EE-97-DF-7F-01-EE-87-9F-7F-02-F6-87-5F-7F-02-FA-87-9F-7E-00-FA-97-DF-7E-01-02-98-1F-7E-FC-E9-37-5F-7C-FA-FD-C7-5F-7E-FF-05-C8-1F-7E-FD-09-E8-5F-7E-FC-09-08-A0-7E-FC-05-08-20-08-03
18/09/2016 17:29:56.943,RX,02-22-58-02-E0-07-09-12-55-15-C1-03-FA-E9-07-60-80-FB-E5-F7-9F-80-FD-E5-E7-1F-80-FA-D5-B7-5F-80-FF-E9-D7-DF-80-01-EE-C7-9F-80-00-EA-B7-5F-80-02-F2-A7-1F-80-02-F6-A7-DF-7F-03-FA-97-9F-7F-03-FE-97-5F-7F-03-06-B8-1F-7F-02-02-A8-DF-7E-02-0E-C8-9F-7E-00-06-C8-5F-7E-FF-09-D8-1F-4C-03
18/09/2016 17:29:57.040,TX,02-23-00-00-03
18/09/2016 17:29:57.043,RX,02-23-00-00-03
18/09/2016 17:29:57.144,RX,02-21-20-00-E0-07-09-12-55-13-C1-03-00-02-08-20-80-00-02-08-20-80-00-02-08-20-80-00-02-08-20-80-00-02-08-39-03-02-24-2D-00-E0-07-09-12-55-13-C1-03-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-C0-03
18/09/2016 17:29:57.244,RX,02-20-35-01-E0-07-09-12-24-17-C1-03-00-00-FF-FF-00-80-FF-FF-01-00-03-00-5C-10-00-00-20-03-0C-03-9B-FF-9F-FF-00-00-06-00-FE-FF-04-00-00-00-FF-FF-00-00-00-00-00-00-62-20-75-03-02-2B-47-01-E0-07-09-12-24-17-C1-03-02-00-00-FF-FF-00-80-FF-FF-01-00-03-00-5C-10-62-00-00-FF-FF-FF-20-03-0C-03-00-FF-FF-00-FF-FF-00-00-9B-FF-9F-FF-00-00-06-00-FE-FF-04-00-12-01-1B-02-FE-B5-0C-FF-FF-A0-01-A4-01-FB-01-00-00-A5-03-02-22-58-03-E0-07-09-12-51-16-C1-03-F9-F9-37-A0-7F-F9-F1-27-E0-7F-F9-E9-F7-5F-7F-F7-E5-17-A0-80-FB-E1-E7-1F-80-FC-E9-17-60-81-FF-ED-07-20-81-00-EA-E7-1F-81-02-F2-D7-5F-80-FE-E1-97-5F-80-02-EE-87-5F-7F-FF-ED-A7-1F-80-04-FE-A7-1F-80-04-02-A8-5F-7F-03-06-C8-9F-7F-03-FE-67-1F-AB-03
